filename,battery_id,data_points
00001.csv,B0047,469
00005.csv,B0047,424
00007.csv,B0047,419
00009.csv,B0047,412
00011.csv,B0047,407
00013.csv,B0047,401
00017.csv,B0047,399
00021.csv,B0047,395
00023.csv,B0047,389
00025.csv,B0047,384
00027.csv,B0047,379
00029.csv,B0047,375
00033.csv,B0047,384
00037.csv,B0047,382
00039.csv,B0047,376
00041.csv,B0047,371
00043.csv,B0047,365
00045.csv,B0047,359
00049.csv,B0047,354
00051.csv,B0047,173
00053.csv,B0047,360
00055.csv,B0047,346
00057.csv,B0047,342
00061.csv,B0047,338
00063.csv,B0047,337
00065.csv,B0047,332
00067.csv,B0047,328
00069.csv,B0047,326
00073.csv,B0047,323
00075.csv,B0047,322
00077.csv,B0047,319
00079.csv,B0047,314
00081.csv,B0047,313
00085.csv,B0047,330
00089.csv,B0047,332
00091.csv,B0047,326
00093.csv,B0047,322
00095.csv,B0047,317
00097.csv,B0047,312
00101.csv,B0047,310
00103.csv,B0047,309
00105.csv,B0047,304
00107.csv,B0047,301
00109.csv,B0047,299
00113.csv,B0047,297
00115.csv,B0047,294
00117.csv,B0047,294
00119.csv,B0047,292
00121.csv,B0047,284
00125.csv,B0047,290
00127.csv,B0047,286
00129.csv,B0047,286
00131.csv,B0047,281
00133.csv,B0047,243
00137.csv,B0047,303
00141.csv,B0047,303
00143.csv,B0047,300
00145.csv,B0047,295
00147.csv,B0047,293
00149.csv,B0047,290
00153.csv,B0047,291
00157.csv,B0047,292
00159.csv,B0047,289
00161.csv,B0047,286
00163.csv,B0047,283
00165.csv,B0047,129
00169.csv,B0047,303
00173.csv,B0047,297
00175.csv,B0047,293
00177.csv,B0047,290
00179.csv,B0047,286
00181.csv,B0047,283
00185.csv,B0045,331
00189.csv,B0045,292
00191.csv,B0045,280
00193.csv,B0045,271
00195.csv,B0045,264
00197.csv,B0045,258
00201.csv,B0045,251
00205.csv,B0045,255
00207.csv,B0045,250
00209.csv,B0045,245
00211.csv,B0045,241
00213.csv,B0045,239
00217.csv,B0045,243
00221.csv,B0045,248
00223.csv,B0045,242
00225.csv,B0045,236
00227.csv,B0045,232
00229.csv,B0045,229
00233.csv,B0045,226
00235.csv,B0045,173
00237.csv,B0045,226
00239.csv,B0045,222
00241.csv,B0045,219
00245.csv,B0045,217
00247.csv,B0045,216
00249.csv,B0045,213
00251.csv,B0045,211
00253.csv,B0045,211
00257.csv,B0045,208
00259.csv,B0045,209
00261.csv,B0045,208
00263.csv,B0045,206
00265.csv,B0045,205
00269.csv,B0045,207
00273.csv,B0045,215
00275.csv,B0045,216
00277.csv,B0045,208
00279.csv,B0045,204
00281.csv,B0045,205
00285.csv,B0045,199
00287.csv,B0045,201
00289.csv,B0045,193
00291.csv,B0045,196
00293.csv,B0045,195
00297.csv,B0045,195
00299.csv,B0045,193
00301.csv,B0045,197
00303.csv,B0045,192
00305.csv,B0045,187
00309.csv,B0045,189
00311.csv,B0045,189
00313.csv,B0045,190
00315.csv,B0045,186
00317.csv,B0045,185
00321.csv,B0045,188
00325.csv,B0045,197
00327.csv,B0045,194
00329.csv,B0045,190
00331.csv,B0045,187
00333.csv,B0045,187
00337.csv,B0045,180
00341.csv,B0045,180
00343.csv,B0045,184
00345.csv,B0045,184
00347.csv,B0045,180
00349.csv,B0045,129
00353.csv,B0045,185
00357.csv,B0045,187
00359.csv,B0045,184
00361.csv,B0045,181
00363.csv,B0045,181
00365.csv,B0045,177
00369.csv,B0048,456
00373.csv,B0048,413
00375.csv,B0048,410
00377.csv,B0048,403
00379.csv,B0048,398
00381.csv,B0048,394
00385.csv,B0048,393
00389.csv,B0048,390
00391.csv,B0048,386
00393.csv,B0048,381
00395.csv,B0048,377
00397.csv,B0048,372
00401.csv,B0048,379
00405.csv,B0048,378
00407.csv,B0048,373
00409.csv,B0048,369
00411.csv,B0048,364
00413.csv,B0048,357
00417.csv,B0048,353
00419.csv,B0048,173
00421.csv,B0048,360
00423.csv,B0048,345
00425.csv,B0048,342
00429.csv,B0048,338
00431.csv,B0048,338
00433.csv,B0048,333
00435.csv,B0048,330
00437.csv,B0048,329
00441.csv,B0048,325
00443.csv,B0048,325
00445.csv,B0048,321
00447.csv,B0048,316
00449.csv,B0048,317
00453.csv,B0048,332
00457.csv,B0048,335
00459.csv,B0048,328
00461.csv,B0048,327
00463.csv,B0048,321
00465.csv,B0048,316
00469.csv,B0048,315
00471.csv,B0048,314
00473.csv,B0048,309
00475.csv,B0048,307
00477.csv,B0048,305
00481.csv,B0048,301
00483.csv,B0048,298
00485.csv,B0048,300
00487.csv,B0048,297
